source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,mean_nn_distance,min_nn_distance,topic,condition
LLM,C3,P0,5,0.036732288543475565,0.021155570551891878,0.04900822571314556,0.06469253359104374,0.05348237275223244,Job Benefits,C3-P0
LLM,C3,P1,5,0.06310592789579546,0.0336789071294189,0.10517571268596626,0.10476972079367045,0.07894566192424912,Job Benefits,C3-P1
LLM,C3,P2,5,0.043178047967827336,0.022275642418307484,0.06600645116474646,0.07346553330937453,0.05356418376854688,Job Benefits,C3-P2
LLM,C4,P0,5,0.0819424949807277,0.04116154783574444,0.21426079730604874,0.11948626696267484,0.05270547789602498,Job Benefits,C4-P0
LLM,C4,P1,5,0.04788520546400645,0.04000223515098267,0.06657648424284057,0.07349936327609874,0.05093240863410031,Job Benefits,C4-P1
LLM,C4,P2,5,0.07301518273396171,0.04071318199177543,0.10492652512152878,0.07239123704929255,0.06232280182081418,Job Benefits,C4-P2
SB,SB,SB,2,0.029252750518818704,0.029252750518818704,0.029252750518818704,0.11529955524944202,0.11529955524944202,MUSIC,SB
LLM,C1,P0,2,0.031371592973295226,0.03137159297329517,0.03137159297329528,0.12351801820181652,0.12351801820181652,Music,C1-P0
LLM,C2,P0,2,0.05100361983035989,0.051003619830359836,0.05100361983035995,0.19881174084983955,0.19881174084983955,Music,C2-P0
LLM,C2,P1,2,0.08892798550682768,0.08892798550682768,0.08892798550682768,0.3398955688147053,0.3398955688147053,Music,C2-P1
LLM,C2,P2,2,0.05541769802424501,0.05541769802424501,0.05541769802424501,0.21552854958836676,0.21552854958836676,Music,C2-P2
LLM,C3,P0,2,0.030223540643312785,0.030223540643312674,0.030223540643312896,0.1190672377552151,0.1190672377552151,Music,C3-P0
LLM,C3,P1,2,0.036440792956361434,0.03644079295636138,0.03644079295636149,0.1431073090428694,0.1431073090428694,Music,C3-P1
LLM,C3,P2,2,0.03231664072203744,0.03231664072203744,0.03231664072203744,0.12717783235303515,0.12717783235303515,Music,C3-P2
LLM,C4,P0,2,0.030314437716915887,0.030314437716915887,0.030314437716915887,0.11941982059947875,0.11941982059947875,Music,C4-P0
LLM,C4,P1,2,0.04026188781707263,0.04026188781707263,0.04026188781707263,0.15780551204710147,0.15780551204710147,Music,C4-P1
LLM,C4,P2,2,0.0509530992876886,0.05095309928768854,0.05095309928768865,0.19861996049671282,0.19861996049671282,Music,C4-P2
SB,SB,SB,4,0.04841965671059589,0.04409511582226444,0.05713401249276817,0.11079385768474997,0.099539662890198,NEWS MEDIA,SB
LLM,C1,P0,4,0.04920421218067564,0.038881425097399114,0.06625890160908465,0.09457234154302752,0.08177101275550147,News Media,C1-P0
LLM,C2,P0,4,0.0403698995098456,0.027451875537482184,0.06220076303942512,0.08185593105841815,0.06530272796676773,News Media,C2-P0
LLM,C2,P1,4,0.08294176757641136,0.06343809042360649,0.1292177667660036,0.17626904652058598,0.1502192077904756,News Media,C2-P1
LLM,C2,P2,4,0.05601501666142958,0.04767070831506348,0.06899641134817791,0.11571950617874288,0.10696482643521255,News Media,C2-P2
LLM,C3,P0,4,0.05605046456837989,0.04294122921603605,0.07412841861874309,0.11943973049890949,0.09141965024475884,News Media,C3-P0
LLM,C3,P1,4,0.04020201289066655,0.029786975072615962,0.050800824093999886,0.08749780173446292,0.07482524050809458,News Media,C3-P1
LLM,C3,P2,4,0.10431205902639526,0.05968634550591556,0.1651255602207259,0.17394008498935432,0.14379434122500878,News Media,C3-P2
LLM,C4,P0,4,0.05817145707158608,0.033775572973873014,0.08350427633577373,0.11230911207014224,0.10381962550633173,News Media,C4-P0
LLM,C4,P1,4,0.05772133046249936,0.04405777974489278,0.07209555394095613,0.11006845485492461,0.07182035969922418,News Media,C4-P1
LLM,C4,P2,4,0.04703956546757143,0.027003544573764415,0.06715077035442052,0.09347338075714556,0.08280202287457572,News Media,C4-P2
SB,SB,SB,3,0.06693798729803106,0.05065491735937255,0.08838203150434065,0.1588911836212857,0.13406705153599896,RECYCLING,SB
LLM,C1,P0,3,0.04048534226132028,0.02558507672547805,0.06075712537522826,0.0852493361548035,0.06064421326805425,Recycling,C1-P0
LLM,C1,P1,3,0.04592947288537482,0.03675648931620401,0.05235461601366043,0.11974243097658925,0.11623402486326107,Recycling,C1-P1
LLM,C2,P0,3,0.024348414476940028,0.016893470009109124,0.0352623257414052,0.05423437228005031,0.040211451011209265,Recycling,C2-P0
LLM,C2,P1,3,0.04394322272109822,0.034072596043716374,0.050324314450372554,0.1133955924035082,0.11063109994598708,Recycling,C2-P1
LLM,C2,P2,3,0.04678654854262798,0.03903289220327766,0.06043446829926091,0.11667590372400682,0.09804803185178668,Recycling,C2-P2
